player_id,name,draft_year,age,position,conference,height_inches,weight_lbs,games_played,ppg,rpg,apg,spg,bpg,topg,fg_pct,three_pct,ft_pct,per,win_shares,drafted
P0001,Player_P0001,2017,19.7,SG,Other,72,213,23,18.4,4.2,3.2,0.8,0.2,3.5,0.463,0.298,0.717,19.2,1.8,0
P0002,Player_P0002,2010,19.4,PG,Big East,72,204,24,16.8,5.9,1.7,0.5,0.8,0.4,0.465,0.374,0.772,19.0,3.0,0
P0003,Player_P0003,2016,21.6,PG,Other,76,227,37,10.6,2.1,4.1,1.2,0.0,1.8,0.362,0.246,0.732,18.5,3.4,0
P0004,Player_P0004,2012,20.2,PF,SEC,72,193,32,15.8,4.9,3.2,2.6,1.1,0.8,0.458,0.456,0.565,20.8,5.4,0
P0005,Player_P0005,2016,20.4,C,Other,74,225,30,12.4,7.3,6.4,1.3,0.1,1.2,0.494,0.41,0.625,20.3,2.9,0
P0006,Player_P0006,2010,18.9,PG,ACC,74,216,36,5.8,7.0,3.0,0.9,0.7,1.8,0.508,0.246,0.673,11.8,5.8,0
P0007,Player_P0007,2012,20.7,PF,SEC,75,205,21,15.4,3.5,3.5,0.6,0.5,1.0,0.483,0.275,0.809,26.5,1.5,0
P0008,Player_P0008,2021,21.6,SG,SEC,80,199,31,12.7,2.6,2.9,0.2,1.7,2.6,0.471,0.359,0.595,25.8,0.0,0
P0009,Player_P0009,2012,20.9,PG,ACC,78,254,31,25.0,5.5,2.4,1.4,0.8,3.4,0.336,0.306,0.643,20.0,2.2,0
P0010,Player_P0010,2011,18.7,SG,Big Ten,74,234,38,22.6,9.0,1.0,0.9,0.3,2.3,0.483,0.409,0.773,22.3,0.6,1
P0011,Player_P0011,2013,19.5,C,Big Ten,79,184,29,16.5,7.5,4.5,1.2,1.3,4.3,0.378,0.301,0.763,25.7,7.7,1
P0012,Player_P0012,2022,20.1,SG,ACC,75,190,30,13.2,4.2,3.3,1.7,1.6,0.6,0.517,0.437,0.76,14.4,6.7,0
P0013,Player_P0013,2023,19.4,PF,Other,79,237,36,20.4,5.4,3.8,1.3,1.1,2.7,0.504,0.433,0.906,21.9,4.6,1
P0014,Player_P0014,2019,22.5,SF,Other,72,226,25,16.1,5.4,5.2,1.4,1.4,1.5,0.482,0.368,0.84,22.6,4.8,1
P0015,Player_P0015,2020,19.5,SF,Other,73,191,21,3.3,6.0,1.8,1.2,1.4,2.9,0.437,0.372,0.769,23.7,6.4,0
P0016,Player_P0016,2022,20.0,C,Other,79,227,29,12.7,8.6,3.1,1.4,0.7,1.3,0.353,0.42,0.797,24.5,4.3,1
P0017,Player_P0017,2014,19.4,C,Other,70,210,32,11.8,6.0,0.5,0.4,1.0,3.1,0.494,0.476,0.689,7.6,2.5,0
P0018,Player_P0018,2015,20.2,PF,Other,77,195,29,1.5,10.6,5.0,0.9,0.5,2.9,0.339,0.407,0.617,20.4,9.9,0
P0019,Player_P0019,2010,21.4,C,Big Ten,78,238,34,22.4,1.1,7.4,1.6,0.7,2.9,0.445,0.184,0.92,25.2,2.1,1
P0020,Player_P0020,2017,20.1,PG,Big Ten,75,213,25,10.8,5.6,4.0,0.7,1.4,2.1,0.442,0.375,0.755,15.0,4.3,0
P0021,Player_P0021,2022,19.8,C,Other,81,209,20,10.9,4.9,2.9,1.3,1.5,1.7,0.288,0.247,0.699,18.5,5.2,0
P0022,Player_P0022,2010,18.9,PG,SEC,73,204,35,8.7,5.7,3.0,0.4,0.3,2.2,0.45,0.204,0.847,7.3,0.0,0
P0023,Player_P0023,2019,21.2,PG,Big East,79,234,37,18.1,7.3,3.4,1.7,1.4,4.5,0.521,0.405,0.691,24.3,1.4,1
P0024,Player_P0024,2016,19.9,C,SEC,76,210,32,20.6,8.3,1.3,1.2,0.2,2.1,0.514,0.427,0.737,16.4,0.5,0
P0025,Player_P0025,2023,19.8,SF,Big 12,81,232,26,22.0,6.0,2.9,1.8,2.0,2.3,0.512,0.305,0.892,17.3,4.0,1
P0026,Player_P0026,2018,18.0,SG,Big Ten,76,192,27,9.2,8.7,5.1,0.9,0.1,1.5,0.45,0.45,0.658,9.2,2.1,0
P0027,Player_P0027,2015,19.9,PG,Big East,76,239,29,11.7,5.2,2.7,1.6,1.2,1.9,0.479,0.422,0.671,18.2,3.2,0
P0028,Player_P0028,2011,19.6,SG,SEC,79,184,28,11.9,4.6,4.2,0.2,1.0,2.9,0.369,0.331,0.653,21.3,2.2,0
P0029,Player_P0029,2017,18.2,C,Big 12,80,214,24,8.2,3.8,4.6,0.4,0.4,3.1,0.495,0.413,0.737,18.0,0.0,0
P0030,Player_P0030,2023,21.0,PG,Pac-12,76,199,27,8.2,1.0,1.9,1.0,1.6,1.0,0.456,0.437,0.739,14.9,5.2,0
P0031,Player_P0031,2010,19.5,C,Big 12,78,240,25,17.1,6.2,3.1,2.3,0.0,4.1,0.404,0.324,0.569,29.4,0.0,0
P0032,Player_P0032,2010,21.9,PF,SEC,74,187,28,9.9,10.6,2.6,0.6,1.7,2.1,0.448,0.315,0.792,11.4,1.2,0
P0033,Player_P0033,2022,21.4,SG,Pac-12,78,190,27,6.5,6.6,0.8,1.3,0.9,2.2,0.432,0.34,0.721,19.9,0.0,0
P0034,Player_P0034,2013,19.3,PF,SEC,74,186,30,11.8,7.2,2.2,1.2,0.0,0.4,0.487,0.161,0.752,17.2,0.8,0
P0035,Player_P0035,2018,21.4,SF,Other,78,244,36,21.9,4.3,1.0,2.0,1.0,2.2,0.5,0.306,0.767,27.8,9.4,1
P0036,Player_P0036,2018,21.6,SG,SEC,76,214,26,19.8,10.8,4.5,2.1,0.0,3.0,0.469,0.26,0.916,30.9,4.6,1
P0037,Player_P0037,2016,19.4,SF,Other,76,195,21,11.8,8.0,2.0,0.7,0.4,2.2,0.403,0.34,0.833,19.0,0.0,0
P0038,Player_P0038,2016,19.0,PG,Other,76,237,36,20.9,7.5,6.3,1.4,1.0,2.9,0.477,0.366,0.796,27.0,1.8,1
P0039,Player_P0039,2019,18.0,C,Other,81,210,23,21.6,5.7,5.1,2.5,1.7,2.2,0.473,0.314,0.923,26.0,6.1,1
P0040,Player_P0040,2013,20.4,PF,Big East,80,195,38,23.1,7.5,0.0,1.0,2.1,0.6,0.386,0.19,0.64,11.7,1.5,0
P0041,Player_P0041,2012,19.0,PG,Pac-12,78,175,30,18.3,5.6,3.3,1.5,0.1,1.9,0.488,0.446,0.849,14.6,3.2,0
P0042,Player_P0042,2023,20.4,PG,SEC,77,227,30,19.2,6.0,2.1,1.0,0.0,3.4,0.476,0.304,0.639,20.8,4.9,0
P0043,Player_P0043,2010,19.4,SF,SEC,79,179,28,26.0,3.6,1.5,1.7,0.9,3.1,0.394,0.287,0.949,17.2,0.0,0
P0044,Player_P0044,2012,19.2,SF,Big Ten,77,221,34,15.8,1.9,2.1,1.3,0.0,1.9,0.453,0.425,0.634,15.0,4.4,0
P0045,Player_P0045,2020,19.4,PF,Big Ten,78,218,33,18.4,7.6,3.5,1.7,1.1,3.4,0.364,0.304,0.745,15.9,8.7,1
P0046,Player_P0046,2017,18.7,C,ACC,79,237,38,16.9,5.6,3.6,0.6,1.3,0.7,0.344,0.349,0.687,6.1,0.0,0
